sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy,Tumour Average Depth,Normal Average Depth
CPCT02010900T,1,2,0.5,-0.8731,0.64,1.8731,48.22,36.09
CPCT02050215T,2,2,1.0,-0.8680000000000003,0.8,2.8680000000000003,47.35,31.19
DO218583,2,2,1.0,-0.0419,0.67,2.0419,38.09,36.18
CPCT02010838T,2,2,1.0,0.0618,0.45,1.9382,48.17,38.15
CPCT02080100T,4,2,2.0,0.7081,0.7,3.2919,47.88,40.71
CPCT02140053T,2,1,2.0,0.1380000000000001,0.42,1.862,49.05,30.89
TCGA-BH-A18RT,16,2,8.0,13.7601,0.53,2.2399,53.89,32.51
CPCT02100043T,2,2,1.0,0.0543,0.65,1.9457,50.52,40.52
CPCT02030463T,1,1,1.0,-0.913,0.42,1.913,49.27,37.95
WIDE01011073T,3,3,1.0,-0.2715999999999998,0.62,3.2716,49.15,36.19
CPCT02330037T,9,3,3.0,5.5999,0.28,3.4001,43.78,36.95
CPCT02120137T,1,1,1.0,-0.9192,0.59,1.9192,49.22,33.85
CPCT02010508T,3,1,3.0,1.1769,0.71,1.8231,50.6,30.66
CPCT02240008T,1,1,1.0,-0.7962,0.53,1.7962,49.36,36.2
CPCT02010281T,5,5,1.0,1.1826,0.51,3.8174,50.58,30.81
CPCT02340058T,2,4,0.5,-1.8502,0.74,3.8502,50.17,34.92
CPCT02080173T,2,2,1.0,0.1456999999999999,0.47,1.8543,46.32,37.81
CPCT02010535T,2,2,1.0,-0.0049999999999998,0.59,2.005,44.02,36.54
CPCT02080001T,3,3,1.0,-0.9927,0.25,3.9927,49.91,36.15
CPCT02080128T,2,4,0.5,-1.5334,0.67,3.5334,47.51,41.32
TCGA-AO-A03LT,6,6,1.0,2.9056,0.47,3.0944,56.94,34.36
CPCT02190019T,1,1,1.0,-1.0640999999999998,0.55,2.0641,48.15,37.17
CPCT02230047T,2,2,1.0,-0.0924,0.58,2.0924,48.15,37.87
CPCT02020635T,2,2,1.0,-0.1404999999999998,0.72,2.1405,48.33,39.28
CPCT02020194T,2,2,1.0,-0.6478999999999999,0.7,2.6479,51.83,35.17
CPCT02250007T,3,3,1.0,-0.4430000000000001,0.62,3.443,49.4,39.39
CPCT02340066TII,3,2,1.5,-0.5735000000000001,0.45,3.5735,49.4,41.67
CPCT02020829T,5,5,1.0,1.6815000000000002,0.49,3.3185,48.37,27.08
CPCT02300028T,3,1,3.0,0.9502000000000002,0.36,2.0498,44.26,32.45
DO52560,3,6,0.5,0.0727999999999999,0.49,2.9272,45.83,39.57
CPCT02050028T,1,1,1.0,-0.9789,0.69,1.9789,51.05,45.31
CPCT02010504T,2,3,0.6666666666666666,-1.207,0.57,3.207,48.19,34.29
DO218553,2,2,1.0,-0.0626999999999999,0.75,2.0627,44.52,28.79
CPCT02100020T,2,2,1.0,-0.4064000000000001,0.66,2.4064,50.05,55.52
CPCT02060272T,3,3,1.0,-0.5686,0.7,3.5686,48.89,26.55
CPCT02010401T,6,3,2.0,2.3161,0.31,3.6839,51.08,35.93
CPCT02470001T,4,5,0.8,0.4468999999999999,0.37,3.5531,48.58,40.16
CPCT02300005T,2,2,1.0,0.1689,0.49,1.8311,51.06,29.06
DO218062,2,2,1.0,-0.1312000000000002,0.44,2.1312,73.53,34.67
DO218506,3,1,3.0,0.8664000000000001,0.33,2.1336,44.52,36.68
CPCT02080296T,2,2,1.0,0.0532999999999999,0.58,1.9467,49.69,38.29
CPCT02010687T,2,3,0.6666666666666666,-1.4881000000000002,0.68,3.4881,48.37,30.28
CPCT02250010T,4,5,0.8,0.3176000000000001,0.59,3.6824,47.23,33.67
CPCT02030394T,2,3,0.6666666666666666,0.0953999999999999,0.89,1.9046,49.1,40.81
DO218457,4,2,2.0,0.1202999999999998,0.24,3.8797,49.58,42.46
CPCT02080036T,4,4,1.0,-1.4660000000000002,0.45,5.466,50.06,42.14
CPCT02040254T,2,2,1.0,-0.6863000000000001,0.68,2.6863,48.71,29.59
CPCT02160003T,3,3,1.0,-0.3178999999999998,0.7,3.3179,50.48,34.22
DO218404,1,2,0.5,-0.9058,0.5,1.9058,38.41,26.24
WIDE01010968T,3,3,1.0,0.2612000000000001,0.69,2.7388,50.46,30.19
CPCT02360012T,3,5,0.6,0.9422,0.7,2.0578,49.99,29.35
CPCT02290040T,2,2,1.0,-1.745,0.35,3.745,48.52,36.32
WIDE01011107T,3,3,1.0,1.0417,0.73,1.9583,49.72,37.9
CPCT02290003T,2,2,1.0,-0.8401999999999998,0.72,2.8402,50.72,44.48
TCGA-E2-A156T,4,4,1.0,0.0177999999999998,0.78,3.9822,54.45,32.42
CPCT02290030T,19,2,9.5,15.5831,0.23,3.4169,49.93,33.44
WIDE01010400T,3,3,1.0,-0.5592999999999999,0.57,3.5593,49.3,45.61
WIDE01010048T,2,2,1.0,-0.0264999999999999,0.85,2.0265,50.24,32.36
CPCT02040071T,2,2,1.0,-0.214,0.78,2.214,51.54,43.67
TCGA-D8-A27HT,2,2,1.0,-2.2472000000000003,0.62,4.2472,52.49,30.17
CPCT02210039T,2,3,0.6666666666666666,-0.1009000000000002,0.71,2.1009,49.28,34.03
CPCT02010447T,4,2,2.0,0.4210000000000002,0.31,3.579,51.71,44.0
WIDE01010944T,3,3,1.0,0.1124999999999998,0.39,2.8875,49.41,35.35
CPCT02030550T,4,2,2.0,0.6989000000000001,0.58,3.3011,48.39,33.22
TCGA-A2-A04TT,2,2,1.0,-1.342,0.64,3.342,27.95,39.41
TCGA-EW-A1J5T,6,6,1.0,1.8586,0.46,4.1414,55.06,31.15
TCGA-E2-A15ET,10,2,5.0,6.3683,0.32,3.6317,44.19,31.22
CPCT02011073T,2,1,2.0,-0.0867,0.73,2.0867,48.5,30.94
